"Firstname	",Surname
Tony,Finau 
Cameron,Champ 
Ryan,Palmer 
Keith,Mitchell 
Ryan,Brehm 
Brooks,Koepka 
Danny,Lee 
Matthew,Wolff 
Bubba,Watson 
Jason,Kokrak 
Gary,Woodland 
Kurt,Kitayama 
Tyler,McCumber 
Grayson,Murray 
Patrick,Fishburn 
Kevin,Tway 
Viktor,Hovland 
Harold,Varner III
Byeong,Hun An
Scottie,Scheffler 
Matt,Jones 
Patrick,Cantlay 
Akshay,Bhatia 
Brandon,Hagy 
Lanto,Griffin 
Tom,Lewis 
Zack,Sucher 
Adam,Schenk 
Charles,Howell III
Sung,Kang 
Patrick,Rodgers 
Beau,Hossler 
Sebastian,Munoz 
Isaiah,Salinda 
Martin,Laird 
Lucas,Bjerregaard 
Kevin,Chappell 
Graham,DeLaet 
Harris,English 
D.J.,Trahan 
Bryson,DeChambeau 
Marc,Leishman 
Scott,Stallings 
Cameron,Davis 
Justin,Thomas 
Jeremy,Gandon 
Sam,Burns 
Sebastian,Cappelen 
Dominic,Bozzelli 
Alex,Noren 
Andrew,Novak 
Scott,Piercy 
Joel,Dahmen 
Jhonattan,Vegas 
Keegan,Bradley 
Wyndham,Clark 
Peter,Uihlein 
Kevin,Streelman 
Branden,Grace 
Sam,Ryder 
Cameron,Tringale 
Aaron,Wise 
Daniel,Berger 
Harry,Higgs 
Pat,Perez 
Martin,Trainer 
Smylie,Kaufman 
Robby,Shelton 
Scott,Harrington 
Nelson,Ledesma 
Joseph,Bramlett 
Rafael,Campos 
Rhein,Gibson 
Rod,Pampling 
Kristoffer,Ventura 
Vince,Covello 
Kramer,Hickok 
Richy,Werenski 
Vincent,Whaley 
Charley,Hoffman 
Roberto,Diaz 
Cameron,Percy 
Chesson,Hadley 
Corey,Conners 
Luke,List 
Brendan,Steele 
Abraham,Ancer 
Carlos,Ortiz 
Rory,Sabbatini 
Jimmy,Walker 
Mackenzie,Hughes 
Sungjae,Im 
Phil,Mickelson 
Joaquin,Niemann 
Josh,Teater 
Mark,Anderson 
Chase,Koepka 
Doug,Ghim 
Talor,Gooch 
Collin,Morikawa 
Doc,Redman 
Ted,Purdy 
Ryan,Moore 
Denny,McCarthy 
Maverick,McNealy 
Shawn,Stefani 
Kyoung-Hoon,Lee 
Adam,Hadwin 
Emiliano,Grillo 
Derek,Ernst 
Robert,Garrigus 
Chase,Seiffert 
Hank,Lebioda 
Adam,Scott 
Nick,Taylor 
Jonathan,Byrd 
Sepp,Straka 
Sangmoon,Bae 
Si,Woo Kim
Stewart,Cink 
Nick,Watney 
Michael,Gligic 
Xinjun,Zhang 
Anirban,Lahiri 
Chandler,Phillips 
Chip,McDaniel 
Russell,Knox 
Cameron,Smith 
Tim,Wilkinson 
J.B.,Holmes 
Jack,Trent 
Lucas,Glover 
Brian,Harman 
Seamus,Power 
Henrik,Norlander 
Dylan,Frittelli 
Tom,Hoge 
Hideki,Matsuyama 
Garrett,Osborn 
Wes,Roach 
John,Oda 
Nate,Lashley 
Jamie,Lovemark 
John,Daly 
Bo,Hoag 
Jason,Dufner 
Mark,Hubbard 
Adam,Long 
Michael,Gellerman 
Andrew,Putnam 
Austin,Cook 
Matt,Every 
Davis,Riley 
J.T.,Poston 
J.J.,Spaun 
Bronson,Burgoon 
Kevin,Na 
Arjun,Atwal 
Patton,Kizzire 
Robert,Streb 
Brian,Gay 
Bud,Cauley 
Jim,Furyk 
John,Merrick 
John,Senden 
James,Hahn 
Freddie,Jacobson 
Scott,Brown 
Fabian,Gomez 
Bill,Haas 
Andrew,Landry 
Webb,Simpson 
Ben,Taylor 
Francesco,Molinari 
Troy,Merritt 
C.T.,Pan 
Chris,Baker 
Ted,Potter Jr
Boo,Weekley 
Andy,Zhang 
Roger,Sloan 
Russell,Henley 
Vaughn,Taylor 
Michael,Thompson 
Jim,Herman 
Chez,Reavie 
Brice,Garnett 
Peter,Malnati 
Matthew,NeSmith 
Bo,Van Pelt
Alex,Cejka 
Brian,Stuard 
Max,Homa 
George,McNeill 
Brandt,Snedeker 
Aaron,Baddeley 
Morgan,Hoffmann 
Tyler,Duncan 
Zach,Johnson 
John,Huh 
Chad,Campbell 
Daniel,Chopra 
Rich,Beem 
Rob,Oppenheim 
Robert,Allenby 
Ben,Crane 
Cole,Hammer 
J.J.,Henry 
Chris,Stroud 
Ricky,Barnes 
Ryan,Blaum 
Tim,Herron 
Roberto,Castro 
Ryan,Armour 
David,Hearn 
Brendon,Todd 
Whee,Kim 
Kyle,Stanley 
Brandon,Wu 
Parker,McLachlin 
